1000 | 1000 | 60 | E
1001 | 1010 | 80 | W
1002 | 1015 | 40 | N
1003 | 1020 | 60 | S
1002 | 1015 | 40 | E
1000 | 1100 | 60 | N
1001 | 1110 | 80 | S
1002 | 1115 | 40 | E
1003 | 1120 | 60 | W
1002 | 1115 | 40 | E
2000 | 1001 | 60 | E
2001 | 1011 | 80 | W
2002 | 1016 | 40 | N
2003 | 1021 | 60 | S
abdc | prqw | xx | D
2002 | 1016 | 40 | E
2000 | 1101 | 60 | N
2001 | 1111 | 80 | S
2002 | 1116 | 40 | E
2003 | 1121 | 60 | W
2002 | 1116 | 40 | E
0110 | 1008 | 60 | W
3000 | 1002 | 60 | E
I Am | Garb | age | data
3001 | 1013 | 80 | W
3002 | 1017 | 40 | N
3003 | 1022 | 60 | S
3002 | 1017 | 40 | E
3000 | 1102 | 60 | N
3001 | 1112 | 80 | S
3002 | 1117 | 40 | E
3003 | 1122 | 60 | W
3002 | 1117 | 40 | E
3110 | 1013 | 60 | W
4000 | 0901 | 60 | E
4001 | 0911 | 80 | W
4002 | 0916 | 40 | N
4003 | 0921 | 60 | S
4002 | 0916 | 40 | E
4000 | 0901 | 60 | N
4001 | 0911 | 80 | S
4002 | 0916 | 40 | E
4003 | 0921 | 60 | W
4002 | 0916 | 40 | E
4110 | 0900 | 60 | W
